,object id,city,district,sub district key,street,year,month,hour of day,weekday,category,accident type,accident type 2,light situation,bike involved,car involved,pedestrian involved,motor bike involved,big track involved,other vehicle involved,road condition
12205,201508,11,1,1022104,Emdener Straße,2019,11,11,6,3,6,4,0,0,1,1,0,0,0,0
12206,201509,11,2,2020206,Graefekiez,2019,11,22,6,3,0,3,2,1,1,0,0,0,0,0
12207,201510,11,11,11020515,Landsberger Allee,2019,11,7,6,3,6,4,2,0,1,1,0,0,0,1
12208,201511,11,7,7030301,Friedenau,2019,11,19,6,3,5,2,2,1,1,0,0,0,0,0
12209,201512,11,4,4051448,Schaperstraße,2019,11,17,6,3,0,5,2,1,1,0,0,0,0,0
12210,201513,11,12,12214424,Scharnweberstraße,2019,11,17,6,3,2,6,2,0,1,0,0,0,0,0
12211,201514,11,1,1011201,Wilhelmstraße,2019,11,13,1,3,5,3,0,0,1,0,1,0,0,0
12212,201515,11,11,11041027,Tierpark,2019,11,12,1,3,5,3,0,1,1,0,0,0,0,0
12213,201516,11,7,7040401,Neu-Tempelhof,2019,11,17,6,3,3,6,2,0,1,0,0,1,0,0
12214,201517,11,4,4020313,Königin-Elisabeth-Straße,2019,11,12,1,3,3,6,0,0,1,0,0,0,1,0
12215,201518,11,4,4020310,Park Ruhwald,2019,11,16,6,3,2,6,0,0,1,0,0,0,1,0
12216,201519,11,7,7020203,Kaiser-Wilhelm-Platz,2019,11,11,1,3,0,5,0,1,1,0,0,0,0,0
12217,201520,11,3,3030406,Alt-Karow,2019,11,10,1,3,5,3,0,0,1,0,0,0,0,0
12218,201521,11,1,1033202,Humboldthain Süd,2019,11,16,6,3,0,1,0,1,0,0,0,0,0,1
12219,201522,11,4,4010101,Jungfernheide,2019,11,1,1,3,1,1,2,0,1,0,0,0,0,0
12220,201523,11,4,4041241,Breite Straße,2019,11,16,1,3,6,2,2,0,1,1,0,0,0,0
12221,201524,11,9,9020802,Köllnische Vorstadt,2019,11,2,1,3,0,1,2,1,0,0,0,0,0,1
12222,201525,11,2,2040701,Andreasviertel,2019,11,14,6,3,5,3,0,1,1,0,0,0,0,0
12223,201526,11,3,3050919,Gustav-Adolf-Straße,2019,11,14,6,3,5,3,0,1,1,0,0,0,0,0
12224,201527,11,7,7050501,Rathausstraße,2019,11,19,1,2,6,4,2,0,1,1,0,0,0,0
12225,201528,11,1,1022204,Thomasiusstraße,2019,11,17,1,3,0,1,2,0,0,0,0,0,1,0
12226,201529,11,10,10030724,Oberfeldstraße,2019,11,15,6,2,5,3,0,1,1,0,0,0,0,0
12227,201530,11,11,11030720,Herzbergstraße,2019,11,17,7,3,2,6,2,0,1,0,0,0,0,0
12228,201531,11,1,1011301,Charitéviertel,2019,11,17,7,2,0,1,2,1,0,0,0,0,0,0
12229,201532,11,7,7060604,Marienfelde Süd,2019,11,15,6,3,5,3,1,0,1,0,0,0,0,0
12230,201533,11,4,4030724,Lietzensee,2019,11,14,6,3,5,3,0,0,1,0,0,0,0,0
12231,201534,11,1,1044103,Westliche Müllerstraße,2019,11,15,7,3,6,4,0,0,1,1,0,0,0,0
