,object id,district,street,year,month,hour of day,weekday,category,accident type,accident type 2,light situation,bike involved,car involved,pedestrian involved,motor bike involved,big track involved,other vehicle involved,road condition,district name,category name,accident detail,accident type detail,light condition,road condition detail
10560,199863,3,Weißenseer Spitze,2019,9,11,6,3,0,1,0,1,1,1,0,0,0,1,Pankow,Accident with minor injuries,Others,Driving accident,Daylight,Wet/moist/slippery
10561,199864,10,Alt-Mahlsdorf,2019,9,9,6,3,5,2,0,1,1,0,0,0,0,1,Marzahn-Hellersdorf,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Wet/moist/slippery
10562,199865,2,Moritzplatz,2019,10,16,7,3,5,3,0,1,1,0,0,0,0,0,Friedrichshain - Kreuzberg,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Dry
10563,199866,5,Germersheimer Platz,2019,9,10,6,3,2,6,0,0,1,0,0,0,1,1,Spandau,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Daylight,Wet/moist/slippery
10564,199867,1,Unter den Linden Nord,2019,10,14,7,3,0,1,0,1,0,0,0,0,0,0,Mitte,Accident with minor injuries,Others,Driving accident,Daylight,Dry
10565,199868,9,Adlershof Ost,2019,9,10,6,3,5,3,0,1,1,0,0,0,0,1,Treptow-Köpenick,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Wet/moist/slippery
10566,199869,7,Wittenbergplatz/Viktoria-Luise-Platz,2019,10,20,7,3,6,7,2,1,0,1,0,0,0,1,Tempelhof-Schöneberg,Accident with minor injuries,Collision between vehicle and pedestrian,Others,Dark,Wet/moist/slippery
10567,199870,1,Lützowstraße,2019,9,10,6,3,5,2,0,1,1,0,0,0,0,1,Mitte,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Wet/moist/slippery
10568,199871,7,Fritz-Werner-Straße,2019,10,19,7,3,5,2,2,0,1,0,0,0,0,0,Tempelhof-Schöneberg,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Dark,Dry
10569,199872,4,Kaiserin-Augusta-Allee,2019,10,18,7,3,2,6,1,0,1,0,0,0,0,1,Charlottenburg - Wilmersdorf,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Twilight,Wet/moist/slippery
10570,199873,9,Dammvorstadt,2019,10,18,7,3,9,1,0,0,0,0,1,0,0,0,Treptow-Köpenick,Accident with minor injuries,Departure from the roadway to the left,Driving accident,Daylight,Dry
10571,199874,4,Eisenzahnstraße,2019,9,10,6,3,6,4,0,0,1,1,0,0,0,1,Charlottenburg - Wilmersdorf,Accident with minor injuries,Collision between vehicle and pedestrian,Pedestrian crossing accident,Daylight,Wet/moist/slippery
10572,199875,3,Behaimstraße,2019,10,17,7,3,0,7,0,0,1,0,0,0,1,0,Pankow,Accident with minor injuries,Others,Others,Daylight,Dry
10573,199876,4,Königin-Elisabeth-Straße,2019,9,9,6,2,5,3,0,0,1,0,0,0,0,1,Charlottenburg - Wilmersdorf,Accident with serious injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Wet/moist/slippery
10574,199877,4,Breitscheidplatz,2019,10,14,7,3,6,2,0,0,1,1,0,0,0,0,Charlottenburg - Wilmersdorf,Accident with minor injuries,Collision between vehicle and pedestrian,Turning accident,Daylight,Dry
10575,199878,12,Breitkopfbecken,2019,9,9,6,3,5,3,0,1,1,0,0,0,0,1,Reinickendorf,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Wet/moist/slippery
10576,199879,4,Karl-August-Platz,2019,10,12,7,3,3,6,0,0,1,0,1,0,0,0,Charlottenburg - Wilmersdorf,Accident with minor injuries,Collision with a vehicle traveling laterally in the same direction,Collision involving vehicles going in the same way,Daylight,Dry
