,Unnamed: 0,object id,district,street,year,month,hour of day,weekday,category,accident type,accident type 2,light situation,bike involved,car involved,pedestrian involved,motor bike involved,big track involved,other vehicle involved,road condition,district name,category name,accident detail,accident type detail,light condition,road condition detail,accident count by district,est. population
6203,6203,195506,7,Dennewitzplatz,2019,6,16,1,3,5,2,0,1,1,0,0,0,0,0.0,Tempelhof-Schöneberg,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Dry,1241,350984.0
6204,6204,195507,3,Thälmannpark,2019,6,16,1,3,0,1,0,1,0,0,0,0,0,0.0,Pankow,Accident with minor injuries,Others,Driving accident,Daylight,Dry,1219,409335.0
6205,6205,195508,11,Karlshorst Nord,2019,6,14,1,3,5,3,0,0,1,0,0,0,0,0.0,Lichtenberg,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Dry,679,294201.0
6206,6206,195509,7,Nollendorfplatz,2019,6,14,1,3,5,3,0,0,1,0,1,0,0,0.0,Tempelhof-Schöneberg,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Dry,1241,350984.0
6207,6207,195510,1,Stülerstraße,2019,6,14,1,3,5,3,0,0,1,0,0,0,0,0.0,Mitte,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Dry,2215,385748.0
6208,6208,195511,1,Unter den Linden Nord,2019,6,14,1,3,5,2,0,0,1,0,1,0,0,0.0,Mitte,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Dry,2215,385748.0
6209,6209,195512,11,Karlshorst Nord,2019,6,14,1,2,5,3,0,1,1,0,0,0,0,0.0,Lichtenberg,Accident with serious injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Dry,679,294201.0
6210,6210,195513,3,Arnimplatz,2019,6,13,1,3,2,6,0,0,1,0,0,0,0,0.0,Pankow,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Daylight,Dry,1219,409335.0
6211,6211,195514,11,Karlshorst West,2019,6,12,6,3,5,2,0,1,1,0,0,0,0,0.0,Lichtenberg,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Dry,679,294201.0
6212,6212,195515,8,Buschkrugallee Nord,2019,6,13,1,3,2,6,0,0,1,0,0,0,0,0.0,Neukölln,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Daylight,Dry,934,329917.0
